DIAG SET 1: ANN MEANS GLOBAL
 
TEST CASE: corey34 (yrs 2050-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2050-2069)
 
Variable          corey34        b.e11.TSREFC2.f09.g16.ccmi23.003        corey34        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM             0.944               1.101            -0.157         4.348
RESSURF            0.944               1.094            -0.150         3.820
SOLIN            340.267             340.267             0.000         0.000
AAM            1.402e+26           1.430e+26        -2.731e+24      -999.000
CHI_200            0.007               0.003             0.004         0.303
CLDHGH            29.066              28.940             0.125         1.426
CLDLOW            33.124              33.268            -0.144         1.307
CLDMED            15.873              15.734             0.139         1.199
CLDTOT            51.191              51.158             0.033         1.391
EKE_850           30.599              30.104             0.495         1.375
EP             2.254e-05           1.391e-04        -1.166e-04         0.329
FLNS              58.745              58.074             0.671         1.587
FLNSC             81.336              80.342             0.994         1.735
FLNT             233.340             234.719            -1.378         2.407
FLNTC            262.338             263.645            -1.307         1.586
FSDS             183.564             182.713             0.851         3.279
FSDSC            246.242             245.404             0.838         1.156
FSNS             159.006             160.122            -1.116         5.047
FSNSC            215.098             216.736            -1.638         6.657
FSNSC_ICE         54.239              55.410            -1.171         4.636
FSNSC_LAND       179.559             179.260             0.299         1.154
FSNT             234.284             235.820            -1.536         4.880
FSNTC            286.575             288.703            -2.128         6.469
ICEAREA           23.084              21.212             1.872         0.055
LHFLX             82.198              83.872            -1.673         4.898
LWCF              28.998              28.926             0.072         1.470
PRECT              2.818               2.876            -0.059         0.325
PRECT_LAND         2.391               2.387             0.004         0.194
PRECT_OCEAN        3.111               3.193            -0.082         0.379
PREH2O            26.646              27.854            -1.208         1.611
PREH2O_OCEAN      30.874              32.283            -1.409         1.866
PSI_200           -0.033              -0.034             0.001         0.164
PS               985.499             985.617            -0.119         0.519
PSL             1011.180            1011.272            -0.092         0.525
QFLX               2.818               2.877            -0.059         0.153
SHFLX             17.118              17.082             0.036         1.591
SNOWHLND          11.294              11.181             0.113         1.940
SST               20.789              21.432            -0.643         0.753
STRESS_MAG         0.067               0.067             0.001         0.006
SWCF             -52.290             -52.883             0.593         3.314
T_850            282.293             282.935            -0.642         0.709
TGCLDLWP         135.164             136.706            -1.542         8.991
TGCLDIWP          17.119              16.859             0.261         0.976
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           288.195             288.844            -0.648         0.742
TS               288.876             289.529            -0.653         0.769
TS_LAND          283.299             283.882            -0.583         0.671
U_200             15.503              15.711            -0.208         1.230
VT_850             0.159               0.119             0.040         0.472
Z3_500            56.847              56.997            -0.150         0.164
