DIAG SET 1: DJF MEANS GLOBAL
 
TEST CASE: corey34 (yrs 2050-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2050-2069)
 
Variable          corey34        b.e11.TSREFC2.f09.g16.ccmi23.003        corey34        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM             8.148               8.787            -0.639         6.486
RESSURF            7.407               7.835            -0.428         7.065
SOLIN            350.496             350.496             0.000         0.000
AAM            1.460e+26           1.482e+26        -2.211e+24      -999.000
CHI_200           -0.029              -0.032             0.003         0.423
CLDHGH            28.412              28.449            -0.037         2.216
CLDLOW            32.452              32.566            -0.114         1.794
CLDMED            16.039              16.032             0.007         1.765
CLDTOT            50.322              50.391            -0.069         2.181
EKE_850           27.706              27.162             0.545         2.123
EP             6.621e-03           8.596e-03        -1.975e-03         0.534
FLNS              58.333              57.576             0.757         2.208
FLNSC             80.934              79.839             1.095         2.168
FLNT             230.431             231.711            -1.280         3.248
FLNTC            258.943             260.287            -1.344         1.852
FSDS             191.033             189.867             1.166         5.168
FSDSC            256.464             255.544             0.920         1.589
FSNS             163.278             164.834            -1.556         7.548
FSNSC            221.807             224.288            -2.481         9.696
FSNSC_ICE         29.752              26.904             2.848         3.742
FSNSC_LAND       145.298             145.176             0.122         2.023
FSNT             238.579             240.498            -1.919         7.250
FSNTC            292.941             295.869            -2.927         9.413
ICEAREA           21.445              19.951             1.493         0.054
LHFLX             82.758              84.628            -1.869         6.648
LWCF              28.512              28.576            -0.063         2.266
PRECT              2.827               2.891            -0.064         0.502
PRECT_LAND         2.355               2.356            -0.001         0.352
PRECT_OCEAN        3.149               3.237            -0.089         0.572
PREH2O            25.165              26.441            -1.276         1.917
PREH2O_OCEAN      30.266              31.793            -1.527         2.220
PSI_200            0.001              -0.001             0.001         0.170
PS               985.354             985.479            -0.125         0.745
PSL             1011.340            1011.444            -0.103         0.751
QFLX               2.834               2.900            -0.066         0.195
SHFLX             14.779              14.795            -0.016         2.491
SNOWHLND          12.061              11.945             0.116         1.988
SST               20.795              21.466            -0.671         0.805
STRESS_MAG         0.071               0.070             0.001         0.008
SWCF             -54.362             -55.370             1.008         5.168
T_850            280.622             281.282            -0.661         0.781
TGCLDLWP         135.156             137.163            -2.007        13.217
TGCLDIWP          17.508              17.306             0.202         1.488
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           286.283             286.938            -0.655         0.835
TS               286.917             287.577            -0.660         0.868
TS_LAND          276.654             277.191            -0.537         0.806
U_200             16.236              16.347            -0.112         1.476
VT_850            -0.638              -0.686             0.049         0.804
Z3_500            56.585              56.743            -0.158         0.181
