DIAG SET 1: JJA MEANS GLOBAL
 
TEST CASE: corey34 (yrs 2050-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2050-2069)
 
Variable          corey34        b.e11.TSREFC2.f09.g16.ccmi23.003        corey34        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM            -9.192              -9.535             0.343         3.643
RESSURF          -10.125             -10.441             0.317         6.209
SOLIN            330.385             330.385             0.000         0.000
AAM            1.202e+26           1.226e+26        -2.450e+24      -999.000
CHI_200            0.033               0.033             0.000         0.460
CLDHGH            30.433              30.248             0.184         2.054
CLDLOW            35.804              35.953            -0.149         1.887
CLDMED            15.855              15.687             0.169         1.661
CLDTOT            54.260              54.196             0.064         2.029
EKE_850           28.144              27.363             0.781         1.994
EP             1.242e-02           1.122e-02         1.196e-03         0.480
FLNS              57.392              56.762             0.630         2.149
FLNSC             80.561              79.606             0.956         2.002
FLNT             236.634             237.950            -1.316         3.121
FLNTC            266.467             267.678            -1.211         1.707
FSDS             171.198             170.489             0.709         4.623
FSDSC            235.215             234.451             0.763         1.256
FSNS             151.037             151.531            -0.493         4.617
FSNSC            208.472             209.250            -0.778         4.391
FSNSC_ICE         45.176              47.319            -2.143         9.442
FSNSC_LAND       214.858             214.370             0.488         1.750
FSNT             227.442             228.414            -0.973         4.393
FSNTC            281.225             282.544            -1.319         4.265
ICEAREA           24.061              21.950             2.111         0.081
LHFLX             84.242              85.762            -1.520         6.281
LWCF              29.834              29.729             0.105         2.097
PRECT              2.879               2.933            -0.054         0.458
PRECT_LAND         2.421               2.413             0.008         0.359
PRECT_OCEAN        3.177               3.252            -0.074         0.510
PREH2O            28.776              29.952            -1.176         1.614
PREH2O_OCEAN      31.620              32.953            -1.333         1.815
PSI_200           -0.074              -0.074             0.000         0.201
PS               985.708             985.823            -0.115         0.766
PSL             1011.063            1011.154            -0.091         0.806
QFLX               2.891               2.945            -0.053         0.188
SHFLX             19.528              19.448             0.080         2.592
SNOWHLND          10.282              10.181             0.101         1.971
SST               20.508              21.130            -0.622         0.724
STRESS_MAG         0.078               0.078             0.000         0.009
SWCF             -53.784             -54.130             0.346         4.130
T_850            284.252             284.860            -0.608         0.706
TGCLDLWP         141.631             142.707            -1.076        12.463
TGCLDIWP          16.212              15.974             0.239         1.361
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           290.182             290.800            -0.617         0.744
TS               290.864             291.483            -0.619         0.774
TS_LAND          290.026             290.553            -0.527         0.678
U_200             13.422              13.716            -0.294         1.338
VT_850             0.984               0.941             0.044         0.766
Z3_500            57.208              57.347            -0.139         0.166
