DIAG SET 1: SON MEANS GLOBAL
 
TEST CASE: corey34 (yrs 2050-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2050-2069)
 
Variable          corey34        b.e11.TSREFC2.f09.g16.ccmi23.003        corey34        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM             2.611               3.169            -0.557         5.700
RESSURF            7.041               7.556            -0.515         5.937
SOLIN            342.177             342.177             0.000         0.000
AAM            1.386e+26           1.444e+26        -5.753e+24      -999.000
CHI_200            0.017               0.017            -0.000         0.323
CLDHGH            28.383              28.293             0.090         2.150
CLDLOW            32.807              32.942            -0.135         1.732
CLDMED            15.744              15.562             0.182         1.689
CLDTOT            50.390              50.328             0.062         2.029
EKE_850           27.501              27.251             0.250         1.856
EP            -3.915e-02          -3.873e-02        -4.126e-04         0.517
FLNS              59.033              58.478             0.555         1.907
FLNSC             81.676              80.812             0.863         1.801
FLNT             233.521             234.903            -1.382         3.002
FLNTC            261.892             263.219            -1.327         1.704
FSDS             186.784             185.978             0.806         4.402
FSDSC            249.325             248.430             0.895         1.314
FSNS             161.753             163.295            -1.542         6.720
FSNSC            217.651             219.737            -2.086         8.616
FSNSC_ICE         45.715              45.684             0.031         4.601
FSNSC_LAND       166.645             166.130             0.514         1.198
FSNT             236.132             238.072            -1.940         6.374
FSNTC            288.109             290.665            -2.556         8.240
ICEAREA           24.213              22.042             2.172         0.085
LHFLX             79.542              81.193            -1.651         6.081
LWCF              28.371              28.316             0.055         2.147
PRECT              2.769               2.827            -0.057         0.475
PRECT_LAND         2.482               2.475             0.006         0.315
PRECT_OCEAN        2.987               3.065            -0.079         0.547
PREH2O            26.354              27.471            -1.117         1.551
PREH2O_OCEAN      30.327              31.561            -1.234         1.770
PSI_200           -0.042              -0.043             0.000         0.250
PS               985.470             985.580            -0.110         0.584
PSL             1011.143            1011.220            -0.078         0.600
QFLX               2.730               2.788            -0.058         0.173
SHFLX             16.137              16.068             0.069         1.914
SNOWHLND          10.382              10.306             0.076         1.956
SST               20.399              21.014            -0.615         0.715
STRESS_MAG         0.070               0.069             0.001         0.007
SWCF             -51.977             -52.594             0.617         4.442
T_850            282.059             282.687            -0.628         0.715
TGCLDLWP         134.669             136.403            -1.734        11.994
TGCLDIWP          17.148              16.920             0.228         1.465
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           288.116             288.766            -0.650         0.769
TS               288.801             289.456            -0.655         0.800
TS_LAND          283.449             284.069            -0.620         0.760
U_200             15.392              15.796            -0.404         1.489
VT_850             0.056               0.027             0.029         0.728
Z3_500            56.799              56.945            -0.146         0.164
