DIAG SET 1: ANN MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: corey34 (yrs 2050-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2050-2069)
 
Variable          corey34        b.e11.TSREFC2.f09.g16.ccmi23.003        corey34        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM           -24.458             -25.262             0.803         1.744
RESSURF           -9.234              -9.237             0.003         2.852
SOLIN            305.490             305.490             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.207              -0.044            -0.163         0.317
CLDHGH            25.209              25.257            -0.048         1.246
CLDLOW            30.383              30.808            -0.425         1.228
CLDMED            15.084              15.033             0.051         0.808
CLDTOT            46.449              46.665            -0.216         1.283
EKE_850           33.451              33.392             0.058         1.210
EP            -1.047e-02          -3.224e-02         2.176e-02         0.153
FLNS              64.603              64.456             0.148         1.515
FLNSC             87.746              87.621             0.126         1.231
FLNT             230.723             231.633            -0.910         2.014
FLNTC            254.485             255.521            -1.036         1.475
FSDS             166.388             165.608             0.779         2.674
FSDSC            219.149             218.739             0.410         0.714
FSNS             137.678             137.472             0.206         2.298
FSNSC            183.206             183.495            -0.289         1.881
FSNSC_ICE         47.452              50.929            -3.477         5.066
FSNSC_LAND       165.361             165.425            -0.064         1.300
FSNT             206.265             206.371            -0.107         2.050
FSNTC            248.291             248.915            -0.624         1.876
ICEAREA           11.381              10.780             0.601         0.043
LHFLX             60.464              60.453             0.011         2.311
LWCF              23.763              23.888            -0.126         1.120
PRECT              2.072               2.098            -0.026         0.144
PRECT_LAND         1.699               1.694             0.005         0.119
PRECT_OCEAN        2.641               2.697            -0.057         0.175
PREH2O            19.042              19.489            -0.448         0.750
PREH2O_OCEAN      25.161              25.763            -0.602         0.962
PSI_200           -6.626              -6.797             0.171         0.214
PS               976.660             976.996            -0.336         0.587
PSL             1015.547            1015.857            -0.310         0.569
QFLX               2.062               2.066            -0.004         0.071
SHFLX             21.844              21.801             0.044         1.487
SNOWHLND           4.365               4.161             0.204         2.650
SST               18.639              18.932            -0.294         0.434
STRESS_MAG         0.049               0.048             0.000         0.004
SWCF             -42.026             -42.544             0.517         2.151
T_850            279.258             279.695            -0.437         0.538
TGCLDLWP         125.497             128.029            -2.532         7.871
TGCLDIWP          19.203              19.110             0.093         0.824
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           283.686             284.155            -0.469         0.628
TS               284.234             284.699            -0.465         0.645
TS_LAND          281.480             281.969            -0.489         0.618
U_200             18.341              18.759            -0.418         1.344
VT_850             0.287               0.274             0.013         0.476
Z3_500            56.572              56.690            -0.117         0.141
