DIAG SET 1: DJF MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: corey34 (yrs 2050-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2050-2069)
 
Variable          corey34        b.e11.TSREFC2.f09.g16.ccmi23.003        corey34        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM          -103.372            -104.367             0.995         2.095
RESSURF          -75.871             -75.984             0.113         7.884
SOLIN            165.185             165.185             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            3.423               3.526            -0.103         0.338
CLDHGH            25.947              26.242            -0.295         1.902
CLDLOW            27.201              27.695            -0.495         1.746
CLDMED            17.003              16.991             0.012         1.340
CLDTOT            44.514              44.916            -0.402         2.050
EKE_850           43.525              42.806             0.720         2.967
EP             1.628e-01           1.525e-01         1.035e-02         0.253
FLNS              65.140              64.950             0.190         1.985
FLNSC             88.071              88.034             0.038         1.541
FLNT             212.819             213.792            -0.973         2.397
FLNTC            235.522             236.831            -1.309         2.052
FSDS              91.347              90.979             0.368         2.044
FSDSC            116.703             116.545             0.158         0.475
FSNS              74.547              74.408             0.139         2.215
FSNSC             96.055              96.159            -0.103         1.636
FSNSC_ICE          1.557               1.282             0.275         0.291
FSNSC_LAND        78.259              78.532            -0.273         2.302
FSNT             109.446             109.425             0.021         1.990
FSNTC            130.191             130.436            -0.245         1.566
ICEAREA           13.761              13.214             0.546         0.056
LHFLX             68.104              68.408            -0.304         4.591
LWCF              22.704              23.039            -0.335         1.538
PRECT              2.118               2.143            -0.025         0.233
PRECT_LAND         1.105               1.111            -0.005         0.166
PRECT_OCEAN        3.441               3.485            -0.044         0.303
PREH2O            11.982              12.296            -0.314         0.664
PREH2O_OCEAN      18.971              19.358            -0.388         0.863
PSI_200           -8.080              -8.182             0.102         0.223
PS               977.101             977.477            -0.376         1.082
PSL             1017.313            1017.658            -0.344         1.104
QFLX               2.281               2.295            -0.015         0.142
SHFLX             17.174              17.034             0.140         3.556
SNOWHLND           5.827               5.619             0.208         2.714
SST               16.632              16.922            -0.290         0.454
STRESS_MAG         0.073               0.075            -0.002         0.011
SWCF             -20.744             -21.011             0.267         1.581
T_850            271.394             271.912            -0.518         0.763
TGCLDLWP         120.486             123.343            -2.857        10.892
TGCLDIWP          23.591              23.657            -0.067         1.504
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           274.538             275.085            -0.547         0.930
TS               275.030             275.569            -0.539         0.958
TS_LAND          266.191             266.677            -0.486         0.912
U_200             25.534              25.948            -0.414         1.839
VT_850             0.428               0.400             0.027         0.965
Z3_500            55.225              55.360            -0.135         0.192
