DIAG SET 1: JJA MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: corey34 (yrs 2050-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2050-2069)
 
Variable          corey34        b.e11.TSREFC2.f09.g16.ccmi23.003        corey34        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM            52.728              52.137             0.591         3.694
RESSURF           54.858              55.273            -0.415         3.353
SOLIN            445.896             445.896             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -3.903              -3.758            -0.145         0.409
CLDHGH            25.181              25.166             0.014         1.920
CLDLOW            37.447              37.736            -0.289         2.156
CLDMED            13.318              13.408            -0.090         1.305
CLDTOT            52.352              52.449            -0.097         2.272
EKE_850           19.245              19.214             0.031         1.241
EP            -2.336e-01          -2.711e-01         3.751e-02         0.311
FLNS              59.500              59.359             0.140         2.638
FLNSC             83.634              83.391             0.243         1.920
FLNT             249.424             250.084            -0.660         3.028
FLNTC            274.549             275.250            -0.701         1.473
FSDS             233.192             231.797             1.395         6.181
FSDSC            319.896             319.360             0.536         1.385
FSNS             197.597             197.244             0.353         5.046
FSNSC            273.223             273.992            -0.769         4.477
FSNSC_ICE        126.023             135.053            -9.030        16.215
FSNSC_LAND       256.808             256.703             0.105         1.908
FSNT             302.152             302.221            -0.069         4.477
FSNTC            371.179             372.368            -1.189         4.410
ICEAREA            8.869               8.296             0.573         0.054
LHFLX             55.096              54.399             0.697         3.838
LWCF              25.125              25.166            -0.041         1.908
PRECT              2.162               2.181            -0.019         0.295
PRECT_LAND         2.460               2.437             0.023         0.334
PRECT_OCEAN        1.975               2.034            -0.059         0.269
PREH2O            28.468              29.057            -0.589         1.136
PREH2O_OCEAN      32.794              33.682            -0.889         1.346
PSI_200           -4.400              -4.625             0.225         0.256
PS               975.669             976.090            -0.422         0.597
PSL             1013.254            1013.671            -0.417         0.600
QFLX               1.929               1.910             0.019         0.114
SHFLX             28.143              28.212            -0.069         1.872
SNOWHLND           2.442               2.260             0.182         2.693
SST               20.296              20.602            -0.306         0.443
STRESS_MAG         0.049               0.046             0.002         0.004
SWCF             -69.027             -70.147             1.120         5.165
T_850            288.321             288.653            -0.332         0.503
TGCLDLWP         134.831             136.806            -1.975        12.204
TGCLDIWP          13.892              13.873             0.019         1.106
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           292.957             293.315            -0.358         0.503
TS               293.541             293.897            -0.356         0.512
TS_LAND          296.873             297.277            -0.404         0.582
U_200              9.255               9.703            -0.448         1.261
VT_850             0.123               0.113             0.011         0.678
Z3_500            58.117              58.219            -0.102         0.116
