DIAG SET 1: MAM MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: corey34 (yrs 2050-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2050-2069)
 
Variable          corey34        b.e11.TSREFC2.f09.g16.ccmi23.003        corey34        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM            18.339              17.645             0.693         2.849
RESSURF           18.377              18.279             0.098         3.888
SOLIN            367.642             367.642             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            1.087               1.450            -0.363         0.461
CLDHGH            24.850              24.706             0.144         2.036
CLDLOW            27.528              27.934            -0.406         1.673
CLDMED            15.126              14.955             0.171         1.327
CLDTOT            43.996              44.087            -0.092         1.923
EKE_850           33.797              33.428             0.368         1.981
EP             2.720e-02           1.528e-02         1.192e-02         0.263
FLNS              69.953              69.896             0.058         2.001
FLNSC             92.708              92.617             0.091         1.432
FLNT             228.068             229.188            -1.120         2.545
FLNTC            251.356             252.457            -1.101         1.545
FSDS             209.927             209.092             0.835         4.266
FSDSC            268.667             268.095             0.572         1.164
FSNS             166.029             166.022             0.007         4.041
FSNSC            215.710             216.109            -0.399         3.662
FSNSC_ICE         48.914              48.145             0.769         3.980
FSNSC_LAND       194.432             194.710            -0.277         2.861
FSNT             246.407             246.834            -0.427         3.675
FSNTC            291.062             291.917            -0.855         3.533
ICEAREA           14.209              13.658             0.551         0.059
LHFLX             53.253              53.422            -0.169         3.289
LWCF              23.288              23.269             0.019         1.723
PRECT              1.777               1.799            -0.021         0.252
PRECT_LAND         1.537               1.535             0.001         0.233
PRECT_OCEAN        2.212               2.264            -0.052         0.287
PREH2O            15.315              15.703            -0.388         0.707
PREH2O_OCEAN      21.035              21.511            -0.476         0.903
PSI_200           -7.939              -7.996             0.057         0.179
PS               976.977             977.251            -0.274         0.644
PSL             1015.860            1016.101            -0.241         0.635
QFLX               1.805               1.814            -0.009         0.100
SHFLX             24.446              24.426             0.020         2.146
SNOWHLND           6.586               6.295             0.291         2.757
SST               16.552              16.830            -0.278         0.455
STRESS_MAG         0.044               0.046            -0.002         0.007
SWCF             -44.655             -45.083             0.428         3.456
T_850            277.432             277.908            -0.476         0.633
TGCLDLWP         115.776             118.022            -2.246        12.637
TGCLDIWP          20.448              20.190             0.259         1.592
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           282.138             282.618            -0.479         0.657
TS               282.668             283.145            -0.477         0.685
TS_LAND          281.130             281.701            -0.571         0.733
U_200             20.945              21.327            -0.382         1.957
VT_850             0.466               0.454             0.012         0.991
Z3_500            56.173              56.290            -0.118         0.160
