DIAG SET 1: SON MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: corey34 (yrs 2050-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2050-2069)
 
Variable          corey34        b.e11.TSREFC2.f09.g16.ccmi23.003        corey34        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM           -67.700             -68.652             0.952         1.852
RESSURF          -35.999             -36.302             0.303         4.596
SOLIN            239.469             239.469             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -1.374              -1.306            -0.068         0.278
CLDHGH            24.868              24.943            -0.075         1.790
CLDLOW            29.268              29.777            -0.510         1.750
CLDMED            14.921              14.830             0.091         1.210
CLDTOT            44.874              45.152            -0.278         1.910
EKE_850           29.858              30.524            -0.666         2.064
EP             5.330e-03          -2.144e-02         2.677e-02         0.272
FLNS              63.821              63.636             0.185         1.916
FLNSC             86.571              86.460             0.111         1.629
FLNT             232.193             233.088            -0.895         2.480
FLNTC            256.092             257.160            -1.068         1.660
FSDS             129.047             128.532             0.515         2.697
FSDSC            168.549             168.177             0.372         0.766
FSNS             110.874             110.542             0.332         2.354
FSNSC            145.526             145.402             0.124         1.134
FSNSC_ICE         10.433              10.192             0.241         2.416
FSNSC_LAND       129.654             129.467             0.187         1.120
FSNT             164.493             164.435             0.057         2.100
FSNTC            197.607             197.802            -0.195         0.999
ICEAREA            8.715               7.975             0.740         0.078
LHFLX             65.572              65.834            -0.262         3.646
LWCF              23.899              24.072            -0.173         1.658
PRECT              2.232               2.272            -0.040         0.258
PRECT_LAND         1.677               1.683            -0.006         0.236
PRECT_OCEAN        2.933               3.000            -0.067         0.290
PREH2O            20.255              20.755            -0.500         0.890
PREH2O_OCEAN      26.925              27.531            -0.606         1.075
PSI_200           -6.130              -6.417             0.286         0.323
PS               976.890             977.174            -0.284         0.623
PSL             1015.788            1016.038            -0.249         0.623
QFLX               2.237               2.250            -0.013         0.109
SHFLX             17.481              17.375             0.105         1.718
SNOWHLND           2.623               2.487             0.136         2.675
SST               19.941              20.237            -0.295         0.420
STRESS_MAG         0.048               0.046             0.002         0.006
SWCF             -33.114             -33.367             0.253         2.115
T_850            279.754             280.192            -0.437         0.596
TGCLDLWP         130.762             133.944            -3.182        10.873
TGCLDIWP          18.954              18.836             0.117         1.379
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           284.910             285.417            -0.507         0.751
TS               285.495             285.997            -0.502         0.782
TS_LAND          281.377             281.888            -0.511         0.703
U_200             17.816              18.215            -0.399         1.623
VT_850             0.124               0.123             0.001         0.848
Z3_500            56.738              56.856            -0.117         0.150
