DIAG SET 1: ANN MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: corey34 (yrs 2050-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2050-2069)
 
Variable          corey34        b.e11.TSREFC2.f09.g16.ccmi23.003        corey34        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM           -23.077             -20.851            -2.226         7.028
RESSURF           -4.428              -3.271            -1.157         5.020
SOLIN            305.490             305.490             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            0.769               0.614             0.156         0.286
CLDHGH            25.308              25.266             0.041         1.342
CLDLOW            39.519              39.788            -0.269         1.343
CLDMED            15.655              15.471             0.184         1.049
CLDTOT            53.477              53.596            -0.120         1.280
EKE_850           44.232              43.470             0.762         1.563
EP             1.036e-01           1.131e-01        -9.433e-03         0.235
FLNS              59.860              58.922             0.938         1.584
FLNSC             88.547              87.319             1.227         1.826
FLNT             224.892             226.559            -1.667         2.183
FLNTC            249.031             250.796            -1.765         1.858
FSDS             168.176             166.363             1.813         3.648
FSDSC            226.403             225.220             1.182         1.579
FSNS             138.469             142.080            -3.610         7.841
FSNSC            188.670             194.232            -5.562        11.382
FSNSC_ICE         60.994              60.362             0.632         4.109
FSNSC_LAND       129.889             129.588             0.301         0.615
FSNT             201.815             205.709            -3.894         7.629
FSNTC            247.534             253.392            -5.858        11.088
ICEAREA           11.703              10.432             1.271         0.062
LHFLX             70.750              74.152            -3.402         6.966
LWCF              24.139              24.237            -0.098         1.327
PRECT              2.290               2.398            -0.108         0.282
PRECT_LAND         1.672               1.711            -0.039         0.116
PRECT_OCEAN        2.467               2.588            -0.121         0.319
PREH2O            17.336              18.639            -1.303         1.635
PREH2O_OCEAN      19.690              21.085            -1.395         1.827
PSI_200            7.258               7.319            -0.061         0.121
PS               983.657             983.540             0.117         0.636
PSL             1007.367            1007.205             0.162         0.670
QFLX               2.393               2.511            -0.118         0.231
SHFLX             12.287              12.277             0.011         1.859
SNOWHLND          46.967              46.940             0.027         0.525
SST               14.901              15.797            -0.896         0.980
STRESS_MAG         0.093               0.092             0.000         0.008
SWCF             -45.719             -47.683             1.965         4.266
T_850            276.332             277.195            -0.863         0.897
TGCLDLWP         141.603             144.777            -3.174         8.867
TGCLDIWP          20.332              19.957             0.375         1.152
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           281.357             282.231            -0.874         0.929
TS               281.889             282.783            -0.893         0.975
TS_LAND          266.747             267.517            -0.770         0.814
U_200             25.540              25.559            -0.019         1.293
VT_850            -0.215              -0.205            -0.010         0.541
Z3_500            55.244              55.422            -0.178         0.193
