DIAG SET 1: DJF MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: corey34 (yrs 2050-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2050-2069)
 
Variable          corey34        b.e11.TSREFC2.f09.g16.ccmi23.003        corey34        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM            72.628              76.789            -4.161        10.549
RESSURF           81.419              84.238            -2.819         7.119
SOLIN            471.643             471.643             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -2.914              -3.054             0.140         0.393
CLDHGH            20.818              21.121            -0.303         1.990
CLDLOW            42.517              42.672            -0.155         1.902
CLDMED            13.574              13.638            -0.064         1.626
CLDTOT            52.964              53.295            -0.331         2.167
EKE_850           29.505              29.247             0.258         1.487
EP            -1.310e-02          -2.390e-02         1.080e-02         0.413
FLNS              55.867              54.601             1.266         2.381
FLNSC             85.146              83.464             1.682         2.347
FLNT             236.044             237.318            -1.274         2.766
FLNTC            258.318             259.911            -1.593         1.795
FSDS             262.160             259.127             3.032         6.796
FSDSC            355.904             354.155             1.749         2.362
FSNS             211.268             216.281            -5.012        11.869
FSNSC            292.648             300.888            -8.240        16.735
FSNSC_ICE        123.215             122.673             0.542         8.154
FSNSC_LAND       190.660             190.335             0.325         1.548
FSNT             308.672             314.107            -5.435        11.480
FSNTC            381.197             389.871            -8.673        16.289
ICEAREA            7.684               6.737             0.947         0.053
LHFLX             63.178              66.455            -3.276         7.974
LWCF              22.274              22.594            -0.319         2.022
PRECT              2.174               2.301            -0.127         0.384
PRECT_LAND         2.748               2.838            -0.090         0.325
PRECT_OCEAN        2.081               2.220            -0.139         0.409
PREH2O            21.470              23.118            -1.647         2.144
PREH2O_OCEAN      23.147              24.860            -1.713         2.346
PSI_200            6.590               6.605            -0.014         0.126
PS               983.821             983.731             0.089         0.660
PSL             1007.113            1007.000             0.113         0.649
QFLX               2.161               2.278            -0.116         0.248
SHFLX             10.805              10.987            -0.183         1.483
SNOWHLND          46.935              46.902             0.033         0.556
SST               16.270              17.232            -0.962         1.069
STRESS_MAG         0.083               0.080             0.003         0.007
SWCF             -72.525             -75.764             3.239         7.370
T_850            279.562             280.412            -0.850         0.916
TGCLDLWP         144.760             147.894            -3.134        12.774
TGCLDIWP          16.520              16.216             0.304         1.458
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           285.057             285.882            -0.825         0.913
TS               285.541             286.397            -0.856         0.976
TS_LAND          276.377             277.041            -0.664         0.736
U_200             19.627              19.765            -0.137         1.356
VT_850            -0.095              -0.102             0.007         0.782
Z3_500            55.967              56.147            -0.181         0.191
