DIAG SET 1: JJA MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: corey34 (yrs 2050-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2050-2069)
 
Variable          corey34        b.e11.TSREFC2.f09.g16.ccmi23.003        corey34        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM          -110.591            -110.490            -0.101         4.108
RESSURF          -82.720             -83.256             0.536         8.801
SOLIN            154.664             154.664             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            4.510               4.369             0.141         0.356
CLDHGH            31.516              31.055             0.461         1.836
CLDLOW            37.815              38.149            -0.334         1.659
CLDMED            17.570              17.216             0.354         1.366
CLDTOT            56.264              56.123             0.141         1.584
EKE_850           55.612              54.210             1.402         2.870
EP             1.744e-01           1.917e-01        -1.733e-02         0.267
FLNS              62.626              61.962             0.663         1.749
FLNSC             91.648              90.779             0.869         1.919
FLNT             214.496             216.471            -1.975         2.578
FLNTC            241.316             243.156            -1.840         2.062
FSDS              81.573              80.814             0.759         2.127
FSDSC            108.821             108.206             0.615         0.904
FSNS              70.972              72.870            -1.898         4.555
FSNSC             94.364              97.039            -2.675         6.031
FSNSC_ICE          2.518               2.237             0.281         0.293
FSNSC_LAND        77.312              77.139             0.173         0.459
FSNT             103.905             105.981            -2.076         4.468
FSNTC            126.537             129.412            -2.875         5.955
ICEAREA           15.192              13.654             1.538         0.096
LHFLX             77.646              80.922            -3.275         7.968
LWCF              26.820              26.685             0.135         1.569
PRECT              2.438               2.533            -0.095         0.296
PRECT_LAND         0.900               0.924            -0.023         0.143
PRECT_OCEAN        2.866               2.966            -0.099         0.331
PREH2O            13.679              14.697            -1.018         1.291
PREH2O_OCEAN      16.187              17.262            -1.076         1.443
PSI_200            7.333               7.417            -0.084         0.164
PS               983.816             983.578             0.238         1.158
PSL             1007.808            1007.512             0.296         1.239
QFLX               2.613               2.725            -0.112         0.260
SHFLX             13.420              13.242             0.179         3.716
SNOWHLND          46.987              46.962             0.025         0.526
SST               13.367              14.202            -0.836         0.910
STRESS_MAG         0.104               0.106            -0.002         0.013
SWCF             -22.632             -23.431             0.798         2.233
T_850            273.445             274.280            -0.835         0.884
TGCLDLWP         140.912             144.385            -3.473        10.122
TGCLDIWP          23.205              22.757             0.448         1.651
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           278.237             279.110            -0.873         0.987
TS               278.813             279.692            -0.879         1.040
TS_LAND          259.518             260.134            -0.617         0.786
U_200             30.442              30.511            -0.069         1.544
VT_850            -0.363              -0.355            -0.008         1.035
Z3_500            54.634              54.795            -0.161         0.211
