DIAG SET 1: MAM MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: corey34 (yrs 2050-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2050-2069)
 
Variable          corey34        b.e11.TSREFC2.f09.g16.ccmi23.003        corey34        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM           -69.543             -68.547            -0.997         5.727
RESSURF          -43.663             -43.643            -0.019         6.751
SOLIN            232.634             232.634             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.447              -0.788             0.341         0.561
CLDHGH            24.166              23.987             0.178         1.921
CLDLOW            38.911              39.218            -0.306         1.709
CLDMED            16.088              15.913             0.174         1.487
CLDTOT            52.144              52.272            -0.128         1.804
EKE_850           42.262              41.898             0.364         2.131
EP             1.443e-01           1.504e-01        -6.143e-03         0.353
FLNS              58.738              57.522             1.216         2.162
FLNSC             86.469              84.944             1.526         2.321
FLNT             226.065             228.040            -1.975         2.904
FLNTC            250.383             252.337            -1.954         2.134
FSDS             123.096             121.644             1.452         3.756
FSDSC            167.259             166.274             0.985         1.384
FSNS             106.758             109.403            -2.645         6.259
FSNSC            145.448             149.518            -4.071         9.032
FSNSC_ICE         21.992              20.873             1.119         3.211
FSNSC_LAND       103.592             103.285             0.306         0.512
FSNT             156.522             159.493            -2.971         6.157
FSNTC            193.074             197.493            -4.419         8.925
ICEAREA            8.407               7.243             1.163         0.077
LHFLX             79.625              83.518            -3.893         8.384
LWCF              24.318              24.298             0.020         1.895
PRECT              2.549               2.678            -0.129         0.412
PRECT_LAND         1.554               1.581            -0.027         0.215
PRECT_OCEAN        2.796               2.946            -0.150         0.456
PREH2O            18.989              20.545            -1.556         1.992
PREH2O_OCEAN      21.257              22.873            -1.616         2.182
PSI_200            7.847               7.758             0.089         0.180
PS               983.597             983.545             0.052         0.772
PSL             1007.447            1007.349             0.097         0.783
QFLX               2.694               2.829            -0.135         0.278
SHFLX             12.058              12.006             0.052         2.360
SNOWHLND          46.938              46.908             0.029         0.598
SST               15.834              16.768            -0.933         1.038
STRESS_MAG         0.093               0.091             0.001         0.011
SWCF             -36.552             -38.000             1.448         3.949
T_850            277.304             278.253            -0.949         1.006
TGCLDLWP         145.686             149.004            -3.318        11.474
TGCLDIWP          20.659              20.146             0.513         1.533
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           282.257             283.220            -0.963         1.050
TS               282.844             283.829            -0.985         1.111
TS_LAND          264.525             265.458            -0.934         1.005
U_200             24.703              24.492             0.211         1.901
VT_850            -0.156              -0.131            -0.024         0.742
Z3_500            55.436              55.637            -0.202         0.221
