DIAG SET 1: SON MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: corey34 (yrs 2050-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2050-2069)
 
Variable          corey34        b.e11.TSREFC2.f09.g16.ccmi23.003        corey34        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM            17.687              21.412            -3.725         9.225
RESSURF           29.440              31.870            -2.431         7.127
SOLIN            367.302             367.302             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            1.873               1.845             0.027         0.314
CLDHGH            24.611              24.801            -0.190         2.090
CLDLOW            38.912              39.153            -0.241         1.727
CLDMED            15.333              15.083             0.249         1.427
CLDTOT            52.523              52.671            -0.148         1.908
EKE_850           42.600              41.928             0.672         2.007
EP             1.088e-01           1.301e-01        -2.131e-02         0.304
FLNS              62.142              61.557             0.585         1.902
FLNSC             90.879              90.055             0.824         1.607
FLNT             223.195             224.618            -1.423         2.377
FLNTC            246.277             247.942            -1.665         1.801
FSDS             208.347             206.333             2.014         5.291
FSDSC            276.998             275.610             1.388         1.848
FSNS             166.746             171.698            -4.952        10.518
FSNSC            224.862             232.197            -7.335        14.902
FSNSC_ICE         63.051              62.276             0.775         5.323
FSNSC_LAND       149.558             149.113             0.444         0.762
FSNT             240.882             246.029            -5.148         9.986
FSNTC            292.702             300.234            -7.532        14.290
ICEAREA           15.498              14.066             1.432         0.089
LHFLX             62.334              65.431            -3.097         7.110
LWCF              23.082              23.324            -0.242         1.809
PRECT              1.989               2.073            -0.084         0.294
PRECT_LAND         1.516               1.529            -0.013         0.198
PRECT_OCEAN        2.110               2.209            -0.099         0.327
PREH2O            15.265              16.256            -0.990         1.309
PREH2O_OCEAN      17.535              18.578            -1.042         1.485
PSI_200            7.256               7.483            -0.226         0.257
PS               983.413             983.299             0.114         0.741
PSL             1007.110            1006.944             0.166         0.781
QFLX               2.098               2.203            -0.105         0.226
SHFLX             12.831              12.841            -0.010         2.332
SNOWHLND          47.008              46.987             0.021         0.475
SST               13.281              14.108            -0.827         0.901
STRESS_MAG         0.102               0.102            -0.001         0.009
SWCF             -51.820             -54.204             2.384         5.939
T_850            275.079             275.894            -0.815         0.858
TGCLDLWP         135.008             137.851            -2.843        11.718
TGCLDIWP          20.858              20.640             0.217         1.676
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           279.934             280.768            -0.834         0.893
TS               280.416             281.266            -0.850         0.935
TS_LAND          266.765             267.636            -0.871         0.953
U_200             27.281              27.366            -0.084         1.520
VT_850            -0.244              -0.231            -0.013         0.796
Z3_500            54.952              55.117            -0.165         0.185
