DIAG SET 1: ANN MEANS TROPICS (20N-20S)
 
TEST CASE: corey34 (yrs 2050-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2050-2069)
 
Variable          corey34        b.e11.TSREFC2.f09.g16.ccmi23.003        corey34        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM            49.218              48.293             0.925         2.148
RESSURF           16.133              15.450             0.683         3.246
SOLIN            408.204             408.204             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.528              -0.547             0.019         0.306
CLDHGH            36.504              36.127             0.376         1.652
CLDLOW            29.557              29.303             0.253         1.345
CLDMED            16.857              16.675             0.182         1.593
CLDTOT            53.592              53.166             0.425         1.582
EKE_850           15.372              14.724             0.647         1.331
EP            -9.091e-02          -7.852e-02        -1.239e-02         0.492
FLNS              51.934              51.012             0.922         1.656
FLNSC             68.032              66.418             1.614         2.038
FLNT             244.148             245.702            -1.554         2.916
FLNTC            283.006             284.129            -1.124         1.390
FSDS             215.371             215.391            -0.020         3.431
FSDSC            292.082             291.163             0.920         1.006
FSNS             199.896             199.867             0.029         3.166
FSNSC            272.060             271.183             0.878         0.951
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       245.688             244.649             1.039         1.146
FSNT             293.367             293.995            -0.628         3.064
FSNTC            362.102             362.056             0.046         0.240
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            114.609             116.239            -1.630         4.270
LWCF              38.857              38.427             0.430         1.855
PRECT              4.062               4.105            -0.042         0.462
PRECT_LAND         4.261               4.229             0.032         0.318
PRECT_OCEAN        3.993               4.059            -0.066         0.499
PREH2O            43.168              45.025            -1.857         2.122
PREH2O_OCEAN      44.772              46.796            -2.023         2.256
PSI_200           -0.716              -0.610            -0.106         0.143
PS               995.931             996.067            -0.136         0.252
PSL             1010.638            1010.765            -0.126         0.241
QFLX               3.971               4.026            -0.055         0.109
SHFLX             17.220              17.166             0.054         1.392
SNOWHLND           0.000               0.000             0.000         0.000
SST               27.467              28.065            -0.598         0.639
STRESS_MAG         0.054               0.052             0.002         0.005
SWCF             -68.735             -68.061            -0.674         3.185
T_850            290.602             291.229            -0.627         0.648
TGCLDLWP         138.318             137.299             1.019        10.073
TGCLDIWP          11.946              11.633             0.313         0.924
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           299.280             299.882            -0.602         0.630
TS               300.234             300.836            -0.602         0.639
TS_LAND          298.862             299.497            -0.634         0.656
U_200              2.927               3.115            -0.188         1.035
VT_850             0.387               0.275             0.112         0.394
Z3_500            58.682              58.837            -0.155         0.155
