DIAG SET 1: DJF MEANS TROPICS (20N-20S)
 
TEST CASE: corey34 (yrs 2050-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2050-2069)
 
Variable          corey34        b.e11.TSREFC2.f09.g16.ccmi23.003        corey34        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM            54.095              52.890             1.205         3.357
RESSURF           16.459              15.080             1.380         6.101
SOLIN            413.168             413.168             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.584              -0.555            -0.029         0.515
CLDHGH            38.235              37.761             0.475         2.666
CLDLOW            27.752              27.452             0.299         1.731
CLDMED            17.506              17.434             0.072         2.207
CLDTOT            53.415              52.903             0.512         2.316
EKE_850           11.417              10.766             0.651         1.628
EP            -1.267e-01          -1.002e-01        -2.650e-02         0.783
FLNS              54.093              53.279             0.815         2.240
FLNSC             69.850              68.295             1.555         2.486
FLNT             242.151             243.737            -1.586         4.251
FLNTC            282.430             283.563            -1.134         1.695
FSDS             218.928             218.805             0.123         5.451
FSDSC            295.847             294.993             0.855         1.338
FSNS             203.072             202.906             0.166         5.088
FSNSC            275.440             274.618             0.822         1.222
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       248.591             247.814             0.777         1.700
FSNT             296.246             296.627            -0.381         4.759
FSNTC            365.703             365.638             0.065         0.320
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            116.196             118.220            -2.024         6.916
LWCF              40.278              39.827             0.452         2.976
PRECT              4.158               4.198            -0.040         0.739
PRECT_LAND         4.523               4.452             0.070         0.569
PRECT_OCEAN        4.036               4.110            -0.074         0.785
PREH2O            41.652              43.504            -1.853         2.437
PREH2O_OCEAN      43.678              45.792            -2.114         2.595
PSI_200            1.457               1.539            -0.082         0.147
PS               994.911             995.001            -0.090         0.266
PSL             1009.635            1009.714            -0.079         0.257
QFLX               4.031               4.097            -0.066         0.181
SHFLX             16.323              16.328            -0.005         1.955
SNOWHLND           0.000               0.000             0.000         0.001
SST               27.405              28.007            -0.602         0.645
STRESS_MAG         0.058               0.057             0.001         0.006
SWCF             -69.457             -69.011            -0.446         4.835
T_850            290.133             290.752            -0.620         0.652
TGCLDLWP         140.103             140.179            -0.076        15.516
TGCLDIWP          12.531              12.167             0.364         1.502
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           298.951             299.546            -0.595         0.634
TS               299.872             300.458            -0.586         0.632
TS_LAND          297.525             298.071            -0.547         0.605
U_200              3.841               3.633             0.208         1.157
VT_850            -2.124              -2.230             0.107         0.643
Z3_500            58.518              58.675            -0.157         0.158
