DIAG SET 1: JJA MEANS TROPICS (20N-20S)
 
TEST CASE: corey34 (yrs 2050-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2050-2069)
 
Variable          corey34        b.e11.TSREFC2.f09.g16.ccmi23.003        corey34        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM            29.369              28.832             0.536         3.063
RESSURF           -2.689              -3.506             0.818         5.218
SOLIN            389.195             389.195             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.495              -0.500             0.005         0.582
CLDHGH            34.504              34.424             0.080         2.360
CLDLOW            32.236              32.066             0.169         1.813
CLDMED            16.659              16.418             0.241         2.159
CLDTOT            54.166              54.021             0.145         2.161
EKE_850           10.982              10.097             0.885         1.512
EP             9.452e-02           1.107e-01        -1.618e-02         0.719
FLNS              50.221              49.145             1.077         1.964
FLNSC             66.732              64.995             1.737         2.153
FLNT             245.763             247.076            -1.313         3.651
FLNTC            283.140             284.234            -1.095         1.527
FSDS             198.187             198.195            -0.009         4.625
FSDSC            275.958             274.827             1.131         1.410
FSNS             183.764             183.711             0.052         4.223
FSNSC            256.681             255.614             1.067         1.356
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       231.717             230.212             1.505         2.001
FSNT             275.132             275.909            -0.777         4.233
FSNTC            344.454             344.380             0.074         0.312
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            119.153             121.123            -1.970         6.335
LWCF              37.376              37.158             0.219         2.651
PRECT              4.009               4.059            -0.050         0.669
PRECT_LAND         3.433               3.432             0.001         0.490
PRECT_OCEAN        4.183               4.249            -0.066         0.716
PREH2O            43.822              45.725            -1.903         2.192
PREH2O_OCEAN      45.385              47.413            -2.028         2.304
PSI_200           -3.083              -2.947            -0.136         0.170
PS               997.361             997.523            -0.162         0.270
PSL             1012.102            1012.253            -0.151         0.260
QFLX               4.104               4.170            -0.066         0.161
SHFLX             17.078              16.950             0.128         1.714
SNOWHLND           0.000               0.000             0.000         0.000
SST               27.273              27.876            -0.604         0.653
STRESS_MAG         0.072               0.071             0.001         0.005
SWCF             -69.322             -68.471            -0.850         4.412
T_850            290.480             291.127            -0.646         0.679
TGCLDLWP         148.975             146.831             2.144        14.603
TGCLDIWP          11.648              11.400             0.248         1.271
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           299.140             299.761            -0.621         0.661
TS               300.019             300.643            -0.623         0.676
TS_LAND          298.562             299.267            -0.705         0.762
U_200              0.867               1.231            -0.364         1.186
VT_850             3.024               2.902             0.122         0.506
Z3_500            58.833              58.989            -0.155         0.156
