DIAG SET 1: MAM MEANS TROPICS (20N-20S)
 
TEST CASE: corey34 (yrs 2050-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2050-2069)
 
Variable          corey34        b.e11.TSREFC2.f09.g16.ccmi23.003        corey34        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM            56.996              56.143             0.854         2.873
RESSURF           23.630              23.763            -0.133         5.030
SOLIN            412.713             412.713             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.591              -0.647             0.056         0.622
CLDHGH            37.819              37.392             0.427         2.917
CLDLOW            27.915              27.690             0.224         1.774
CLDMED            16.346              16.122             0.225         2.146
CLDTOT            53.116              52.644             0.472         2.476
EKE_850           10.621              10.213             0.408         1.391
EP            -1.083e-01          -1.059e-01        -2.340e-03         0.731
FLNS              52.133              51.258             0.875         1.916
FLNSC             67.681              66.179             1.502         2.136
FLNT             243.721             245.224            -1.503         4.471
FLNTC            283.644             284.654            -1.009         1.588
FSDS             222.343             222.514            -0.171         4.889
FSDSC            295.504             294.746             0.758         1.108
FSNS             206.261             206.385            -0.124         4.582
FSNSC            275.229             274.500             0.729         0.987
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       247.519             246.880             0.639         1.193
FSNT             300.718             301.367            -0.649         4.389
FSNTC            366.408             366.363             0.045         0.285
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            113.093             113.934            -0.841         6.228
LWCF              39.923              39.430             0.493         3.287
PRECT              4.030               4.056            -0.026         0.675
PRECT_LAND         4.350               4.336             0.014         0.521
PRECT_OCEAN        3.925               3.963            -0.038         0.717
PREH2O            44.022              45.828            -1.806         2.227
PREH2O_OCEAN      45.754              47.714            -1.960         2.357
PSI_200            0.029               0.171            -0.142         0.199
PS               995.566             995.712            -0.146         0.274
PSL             1010.248            1010.384            -0.136         0.264
QFLX               3.921               3.950            -0.029         0.152
SHFLX             17.406              17.430            -0.024         1.901
SNOWHLND           0.000               0.000             0.000         0.000
SST               27.965              28.542            -0.577         0.636
STRESS_MAG         0.053               0.050             0.003         0.007
SWCF             -65.690             -64.996            -0.695         4.499
T_850            291.157             291.763            -0.606         0.634
TGCLDLWP         126.230             124.822             1.408        13.832
TGCLDIWP          11.863              11.563             0.299         1.531
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           299.779             300.355            -0.577         0.617
TS               300.811             301.395            -0.584         0.638
TS_LAND          299.731             300.354            -0.624         0.662
U_200              5.637               5.481             0.155         1.418
VT_850             0.311               0.181             0.130         0.504
Z3_500            58.710              58.861            -0.151         0.151
