DIAG SET 1: SON MEANS TROPICS (20N-20S)
 
TEST CASE: corey34 (yrs 2050-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2050-2069)
 
Variable          corey34        b.e11.TSREFC2.f09.g16.ccmi23.003        corey34        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM            56.562              55.501             1.061         3.077
RESSURF           27.203              26.646             0.556         5.819
SOLIN            417.955             417.955             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.436              -0.476             0.039         0.368
CLDHGH            35.501              34.976             0.525         2.501
CLDLOW            30.301              29.966             0.335         1.719
CLDMED            16.950              16.744             0.206         2.237
CLDTOT            53.696              53.095             0.601         2.246
EKE_850           11.383              10.675             0.708         1.468
EP            -2.271e-01          -2.206e-01        -6.553e-03         0.791
FLNS              51.321              50.434             0.887         1.904
FLNSC             67.904              66.267             1.637         2.113
FLNT             244.904             246.722            -1.819         3.884
FLNTC            282.808             284.058            -1.250         1.649
FSDS             222.116             222.205            -0.090         4.773
FSDSC            301.193             300.268             0.925         1.093
FSNS             206.572             206.613            -0.041         4.463
FSNSC            281.054             280.172             0.883         1.056
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       255.083             253.847             1.235         1.562
FSNT             301.466             302.223            -0.757         4.276
FSNTC            372.021             372.023            -0.003         0.305
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            109.995             111.591            -1.597         6.844
LWCF              37.904              37.336             0.569         2.780
PRECT              4.057               4.105            -0.048         0.719
PRECT_LAND         4.748               4.704             0.044         0.478
PRECT_OCEAN        3.832               3.910            -0.078         0.779
PREH2O            43.142              44.986            -1.844         2.157
PREH2O_OCEAN      44.242              46.211            -1.969         2.275
PSI_200           -1.225              -1.168            -0.057         0.135
PS               995.860             996.017            -0.157         0.304
PSL             1010.544            1010.692            -0.148         0.296
QFLX               3.830               3.884            -0.054         0.163
SHFLX             18.054              17.942             0.112         1.618
SNOWHLND           0.000               0.000             0.000         0.000
SST               27.217              27.823            -0.606         0.654
STRESS_MAG         0.054               0.053             0.002         0.007
SWCF             -70.555             -69.801            -0.754         4.411
T_850            290.634             291.265            -0.631         0.669
TGCLDLWP         138.155             137.391             0.764        13.239
TGCLDIWP          11.762              11.416             0.347         1.319
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           299.239             299.849            -0.609         0.645
TS               300.220             300.834            -0.614         0.663
TS_LAND          299.607             300.259            -0.653         0.709
U_200              1.411               2.131            -0.720         1.311
VT_850             0.270               0.176             0.093         0.510
Z3_500            58.662              58.817            -0.155         0.155
